CountryName,CountryCode,Date,S1_School closing,S1_IsGeneral,S1_Notes,S2_Workplace closing,S2_IsGeneral,S2_Notes,S3_Cancel public events,S3_IsGeneral,S3_Notes,S4_Close public transport,S4_IsGeneral,S4_Notes,S5_Public information campaigns,S5_IsGeneral,S5_Notes,S6_Restrictions on internal movement,S6_IsGeneral,S6_Notes,S7_International travel controls,S7_Notes,S8_Fiscal measures,S8_Notes,S9_Monetary measures,S9_Notes,S10_Emergency investment in health care,S10_Notes,S11_Investment in Vaccines,S11_Notes,S12_Testing framework,S12_Notes,S13_Contact tracing,S13_Notes,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay
Djibouti,DJI,20200415,2,1,"Since 23 March the authorities imposed a general lockdown in the country, except for essential services. Traffic has been restricted to minimum, and only allowed with administrative authorization. It has now been extended to 16 April. Source: https://reliefweb.int/report/djibouti/republic-djibouti-covid-19-situation-report-3-9-april-2020",2,1,"[General geographically, otherwise this order is targeted at public employees]. On March 22, 2020, the Government of Djibouti ordered the closure of mosques, other places of worship, bars and night clubs. Public transportation was limited and non-essential staff of the Government of Djibouti were placed on administrative leave. On March 23, 2020, the Government of Djibouti announced a general confinement at home that has now been extended till April 16, 2020. In addition, stores were ordered closed with the exception of food markets, pharmacies, banks and gas stations. Sources: https://web.archive.org/save/https://dj.usembassy.gov/covid-19-information-09-april-2020/; https://web.archive.org/web/20200412132818/https://reliefweb.int/report/djibouti/republic-djibouti-covid-19-situation-report-3-9-april-2020",2,1,"Since 23 March the authorities imposed a general lockdown in the country, except for essential services. Traffic has been restricted to minimum, and only allowed with administrative authorization. It has now been extended to 16 April. Source: https://reliefweb.int/report/djibouti/republic-djibouti-covid-19-situation-report-3-9-april-2020",1,,"[Clarification: Here I am saying 'Recommended' because it says public transport was 'limited' and not completely halted.] On March 22, 2020, the Government of Djibouti ordered that public transportation was limited and non-essential staff of the Government of Djibouti were placed on administrative leave. On March 23, 2020, the Government of Djibouti announced a general confinement at home that has now been extended till April 16, 2020. In addition, stores were ordered closed with the exception of food markets, pharmacies, banks and gas stations. Sources: https://web.archive.org/save/https://dj.usembassy.gov/covid-19-information-09-april-2020/; https://web.archive.org/web/20200412132818/https://reliefweb.int/report/djibouti/republic-djibouti-covid-19-situation-report-3-9-april-2020",,,,2,1,"Since 23 March the authorities imposed a general lockdown in the country, except for essential services. Traffic has been restricted to minimum, and only allowed with administrative authorization. It has now been extended to 16 April. Source: https://reliefweb.int/report/djibouti/republic-djibouti-covid-19-situation-report-3-9-april-2020",,,,,,,,,,,,,,,,,,95.24
Ecuador,ECU,20200415,2,1,The government of Ecuador announced the suspension of classes in all educational establishments due to the COVID-19 pandemic. The measure is in place since March 13th. Source: https://web.archive.org/web/20200409021055/https://www.elcomercio.com/actualidad/feriado-viernes-santo-coronavirus-ecuador.html,2,1,"Since March 17, 2020, non-essential workplaces have been closed due to the health emergency. Since then, employees and employers have been asked to use digital platforms for telework. Exceptions applies to areas such as health, food provision, communication and others considered vital during the quarantine. Source: https://web.archive.org/web/20200409021055/https://www.elcomercio.com/actualidad/feriado-viernes-santo-coronavirus-ecuador.html",2,1,"Ministry María Paula Romo announced that from March 13, massive public events throughout the country are suspended indefinitely. Source: https://web.archive.org/web/20200411180934/https://www.metroecuador.com.ec/ec/noticias/2020/03/12/medidas-del-gobierno-ante-coronavirus-en-ecuador-se-suspenden-eventos-masivos.html",2,0,"Ibarra, Latacunga, Cuenca, Santo Domingo, Manta, Portoviejo and Puyo have suspended their public transportation on March, 21. Quito has been authorising essential travel only, but a completed ban was put in place for one weekend (11-12 April, 2020). Sources: https://web.archive.org/web/20200322191234/https://www.elcomercio.com/actualidad/siete-ciudades-ecuador-transporte-publico.html / https://web.archive.org/web/20200411182325/https://www.elcomercio.com/actualidad/cuarentena-semana-auto-sancion.html",1,1,Official website up to date on all COVID-19 related information. Source: https://web.archive.org/web/20200409110834/https://coronavirusecuador.com/,2,1,"A more restrictive curfew has been implemented since March 25, 2020. It is mandatory for citizens to stay at their home from 2 PM to 5 AM. 
Circulation of people and cars is regulated by IDs and vehicle licences.
Source: https://web.archive.org/web/20200330120522/https://www.metroecuador.com.ec/ec/noticias/2020/03/24/lenin-moreno-amplia-toque-queda-desde-las-1400-territorio-nacional.html",3,"Ecuador has shut all its borders since March 18th. On March 22nd, the Government requested the joint commandment of the armed forces to manage the province of Guayas as a zone of national security, with the objective to enforce confinement measures, in the province concentrating the largest share (75 percent) of confirmed cases in the country. Retrieved from:https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19#E",50114000,"'On March 19th, further measures were announced to support the population and businesses, such as deferral of payroll contributions, exceptional cash transfer amounting to USD120 to 400 thousand poor families, later extended to 950 thousands families, distribution of food baskets, and a financing of USD50 million in credit lines for small- and medium-size businesses.' Source: https://web.archive.org/web/20200409111700/https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19",0,"'On March 24th, the Monetary and Financial Policy and Regulation Board issued some temporary modifications to the Monetary, Financial, Securities Code and Insurance Resolutions to support the private sector, including extraordinary deferrals of credit obligations, including from public banks, and a requirement of additional generic provisioning on banks’ gross lending portfolio during 2020.' Source: https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19",464000000,'The Government invests USD 464 million in health care and social protection.' Source: https://web.archive.org/web/20200412051319/https://www.eltelegrafo.com.ec/noticias/economia/4/gobierno-salud-emergencia,0,,3,"“In several countries (…) like in Ecuador, it has been decided to carry out massive tests to identify sick and healthy carriers and thus stop the spread.” Source: https://web.archive.org/web/20200406004958/https://www.elcomercio.com/actualidad/tests-rapidos-covid19-ecuador-medicos.html",1,Source: https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)30851-5/fulltext,,,95.24,95.24
Egypt,EGY,20200415,2,1,"The Egyptian government has decided to extend the isolation procedures to confront the Corona virus for an additional two weeks with the start of the curfew from eight in the evening until six in the morning of isolation which includes the suspension of schooling.
LINK (Arabic): https://web.archive.org/save/https://www.alarabiya.net/ar/arab-and-world/egypt/2020/04/08/???-????-?????-??????-???????-????????-???????-??????",2,1,"The Egyptian government has announced the suspension of citizens movement and public transportation from 17:00 until 6:00 the following day. This includes the closure of commercial stores, discos, cafes, restaurants, and the suspension of government services such as the real estate monthly insurances for two weeks.
LINK (Arabic): https://web.archive.org/web/20200411190458/https://www.alarabiya.net/ar/arab-and-world/egypt/2020/04/08/???-????-?????-??????-???????-????????-???????-??????",2,1,"The Egyptian government has decided to extend the isolation procedures to confront the Corona virus for an additional two weeks with the start of the curfew from 20:00 in the evening until 6:00 in the morning of isolation. This includes banning religious gatherings public gatherings, and any sort of crowding.
LINK (Arabic): https://web.archive.org/save/https://www.alarabiya.net/ar/arab-and-world/egypt/2020/04/08/???-????-?????-??????-???????-????????-???????-??????",2,1,"The Egyptian government has announced the suspension of citizens movement and public transportation with a curfew from 20:00 until 6:00 the following day. 
LINK (Arabic): https://web.archive.org/save/https://www.alarabiya.net/ar/arab-and-world/egypt/2020/04/08/???-????-?????-??????-???????-????????-???????-??????",1,1,"The Egyptian government has launched an information campaign 'Stay at Home' to raise awareness about COVID-19 urging citizens to follow the social distancing advice. The Egyptian Ministry of Health has also established a dedicated COVID-19 hotline to answer any queries from the public. 
LINK (Arabic): https://web.archive.org/save/https://news.un.org/ar/story/2020/03/1051932",2,1,"The Egyptian government has announced the suspension of citizens movement and public transportation with a curfew from 20:00 until 6:00 the following day. 
LINK (Arabic): https://web.archive.org/web/20200411190458/https://www.alarabiya.net/ar/arab-and-world/egypt/2020/04/08/???-????-?????-??????-???????-????????-???????-??????",3,"The Egyptian Government announced the extension of the flight ban/international travel for an additional two new weeks to continue facing the outbreak of the Corona virus.
LINK (Arabic): https://web.archive.org/save/https://www.alhurra.com/coronavirus/2020/04/08/???????-??????-???-????-???-???????-????????-??????-???????%C2%A0",1267737220,"Egypt has taken steps to curtail the impact of coronavirus on the economy, including a 3% interest rate cut and an injection of 20 billion Egyptian pounds to support the stock market.
LINK: https://web.archive.org/save/https://en.qantara.de/content/egypt-declares-two-week-curfew-to-counter-coronavirus",9.25,"Egypt has taken steps to curtail the impact of coronavirus on the economy, including a 3% interest rate cut and an injection of 20 billion Egyptian pounds to support the stock market.
LINK: https://web.archive.org/save/https://en.qantara.de/content/egypt-declares-two-week-curfew-to-counter-coronavirus",240870071,"To support the healthcare sector, EGP 3.8 (240,870,071.80 million US dollars) has been allocated targeted at providing urgent and necessary medical supplies, and disbursing bonuses for medical staff working in quarantine hospitals and labs. To support medical professionals, including doctors working in university hospitals, a 75% allowance over the wages has been announced
LINK: https://web.archive.org/save/https://www.imf.org/en/Topics/imf-and-covid19/Policy-Responses-to-COVID-19#E",0,,,,,,,,100,100
Spain,ESP,20200415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,This needs updating past 8th April,,,,,,95.24
Estonia,EST,20200415,2,1,"On March 12, Estonia announced that it was closing schools and banning public gatherings until May 1 to limit the spread of the coronavirus: Source 1 (https://web.archive.org/web/20200314224505/https://www.reuters.com/article/us-health-coronavirus-estonia/estonia-closes-schools-bans-public-events-over-coronavirus-idUSKBN2100RQ) Source 2 Republic of Estonia: (https://web.archive.org/web/20200411095028/https://www.valitsus.ee/en/emergency-situation-estonia)",,,,2,1,"On March 12, Estonia announced that it was closing schools and banning public gatherings until May 1 to limit the spread of the coronavirus: Source 1 (https://web.archive.org/web/20200314224505/https://www.reuters.com/article/us-health-coronavirus-estonia/estonia-closes-schools-bans-public-events-over-coronavirus-idUSKBN2100RQ) Source 2 Republic of Estonia: (https://web.archive.org/web/20200411095028/https://www.valitsus.ee/en/emergency-situation-estonia)",,,,1,1,"On March 12th, 2020, the Government called together a special Committee tasked with resolving issues arising from events related to spreading of the coronavirus, public health and the economy. This is the first time an emergency situation has been called out in Estonia after regaining its independence.The committee provides information and updates about the virus: https://www.kriis.ee/en/emergency-situation-estonia ",,,,,,,,,,,,,,,,,,,,,80.95
Finland,FIN,20200415,,,,,,,,,,,,,,,,2,0,"'On 27 March, the Government submitted to Parliament two decrees concerning the Uusimaa region on the entry into force and the application of the restrictions on movement laid down in the Emergency Powers Act. The restrictions concern movement to and from the Uusimaa region. The movement restrictions in the Uusimaa region will enter into force on 28 March and remain in force until 19 April 2020'.
Retrieved from: https://valtioneuvosto.fi/en/article/-/asset_publisher/10616/liikkumisrajoitukset-uudellemaalle-voimaan-28-maaliskuuta-2020-klo-00-00",,,,,,,,,,,,,,,,,,90.48
Ghana,GHA,20200415,,,,,,,2,1,Public events were cancelled for an initial period of 4 weeks. Excerpts of presidents' speech announcing the measures are here- https://web.archive.org/save/https://www.instagram.com/p/B9xX3p0HCAZ/,,,,,,,,,,,,,,,,,,,,,,,,,,,66.67
Gambia,GMB,20200415,,,,,,,,,,,,,,,,,,,,,,,12,/web/20200413115657/https://www.cbg.gm/policy-rate-decisions,,,,,,,,,,,,80.95
Greece,GRC,20200415,,,,1,,https://web.archive.org/web/20200414132046/https://covid19.gov.gr/paratasi-ischyos-metron-ypourgiou-ergasias-ke-kinonikon-ypotheseon/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.67
Guyana,GUY,20200415,,,,2,1,"https://dpi.gov.gy/covid-19-emergency-measures/

April 3 to May 3 -- Covid 19 Measures

'All persons employed within the public service, a statutory body or a State-owned enterprise shall work remotely from home'",2,1,"No person shall host, attend or visit- a recreational or competitive sporting event;  a meeting of a fraternal society, private or social club or civic association or organisation; or any other social activity.

https://dpi.gov.gy/covid-19-emergency-measures/",,,,,,,2,1,"9. Domestic Travel

(1)   Any person who provides transport within Guyana whether by land, water or air shall not carry in that transport more than half the number of passengers which the motor vehicle, vessel or aircraft is licensed to carry and the operators and passengers of any motor vehicle, vessel or aircraft shall have personal protective equipment.

(2)    A motor vehicle, vessel or aircraft shall not be used for a purpose other than a purpose related to a service under paragraphs 5 and 6.

(3)   The Police Force shall have powers to stop any motor vehicle, vessel or aircraft and inquire as to the purposes for which that motor vehicle, vessel or aircraft is being utilised, and may arrest anyone found in violation of this paragraph.

(4)   Medical evacuation flights shall be allowed with only the patient, one health official and, where necessary, one family member.

https://dpi.gov.gy/covid-19-emergency-measures/",3,"10. International Air Travel

The Cheddi Jagan International and Eugene F. Correia International Airports shall remain closed to all international flights except for outgoing flights, cargo flights, medical evacuation flights, technical stops for fuel only and special authorised flights.

https://dpi.gov.gy/covid-19-emergency-measures/",,,,,,,,,,,,,,,,85.71
India,IND,20200415,2,1,"https://mha.gov.in/sites/default/files/MHA%20DO%20letter%20dt.14.4.2020%20to%20Chief%20Secretaries%20and%20Administrators%20for%20strict%20implementation%20of%20Lockdown%20Order%20during%20extended%20period.pdf
https://web.archive.org/web/20200414162504/https://mha.gov.in/media/whats-new
https://web.archive.org/save/https://www.thehindu.com/news/national/lockdown-extended-till-may-3-says-modi/article31336519.ece?homepage=true",2,1,"https://mha.gov.in/sites/default/files/MHA%20DO%20letter%20dt.14.4.2020%20to%20Chief%20Secretaries%20and%20Administrators%20for%20strict%20implementation%20of%20Lockdown%20Order%20during%20extended%20period.pdf
https://web.archive.org/web/20200414162504/https://mha.gov.in/media/whats-new
https://web.archive.org/save/https://www.thehindu.com/news/national/lockdown-extended-till-may-3-says-modi/article31336519.ece?homepage=true",2,1,"https://mha.gov.in/sites/default/files/MHA%20DO%20letter%20dt.14.4.2020%20to%20Chief%20Secretaries%20and%20Administrators%20for%20strict%20implementation%20of%20Lockdown%20Order%20during%20extended%20period.pdf
https://web.archive.org/web/20200414162504/https://mha.gov.in/media/whats-new
https://web.archive.org/save/https://www.thehindu.com/news/national/lockdown-extended-till-may-3-says-modi/article31336519.ece?homepage=true",2,1,"https://mha.gov.in/sites/default/files/MHA%20DO%20letter%20dt.14.4.2020%20to%20Chief%20Secretaries%20and%20Administrators%20for%20strict%20implementation%20of%20Lockdown%20Order%20during%20extended%20period.pdf
https://web.archive.org/web/20200414162504/https://mha.gov.in/media/whats-new
https://web.archive.org/save/https://www.thehindu.com/news/national/lockdown-extended-till-may-3-says-modi/article31336519.ece?homepage=true
https://web.archive.org/web/20200414115626/http://www.indianrailways.gov.in/railwayboard/uploads/directorate/traffic_comm/Rates-Letters/2020/Extended_Cancellation_Passenger_Train_Sewrvices_140420.pdf
",1,1,"https://pib.gov.in/indexd.aspx
https://www.mygov.in/covid-19/",2,1,"https://mha.gov.in/sites/default/files/MHA%20DO%20letter%20dt.14.4.2020%20to%20Chief%20Secretaries%20and%20Administrators%20for%20strict%20implementation%20of%20Lockdown%20Order%20during%20extended%20period.pdf
https://web.archive.org/web/20200414162504/https://mha.gov.in/media/whats-new
https://web.archive.org/save/https://www.thehindu.com/news/national/lockdown-extended-till-may-3-says-modi/article31336519.ece?homepage=true
https://web.archive.org/news/india/flight-services-suspended-till-lockdown-ends-on-may-3-11586847381844.html
 https://web.archive.org/web/20200414115626/http://www.indianrailways.gov.in/railwayboard/uploads/directorate/traffic_comm/Rates-Letters/2020/Extended_Cancellation_Passenger_Train_Sewrvices_140420.pdfhttps://web.archive.org/web/20200414115030/
 ",3,"https://web.archive.org/news/india/flight-services-suspended-till-lockdown-ends-on-may-3-11586847381844.html

https://mha.gov.in/sites/default/files/MHA%20DO%20letter%20dt.14.4.2020%20to%20Chief%20Secretaries%20and%20Administrators%20for%20strict%20implementation%20of%20Lockdown%20Order%20during%20extended%20period.pdf
https://web.archive.org/web/20200414162504/https://mha.gov.in/media/whats-new
https://web.archive.org/save/https://www.thehindu.com/news/national/lockdown-extended-till-may-3-says-modi/article31336519.ece?homepage=true",,,,,,,,,,,,,,,100,100
Iraq,IRQ,20200415,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.48
Italy,ITA,20200415,2,1,Source: https://web.archive.org/web/20200412185219/https://www.ilmeteo.it/notizie/coronavirus-scuole-chiuse-anche-in-autunno-ecco-cosa-stato-deciso-e-le-conseguenze-per-gli-studenti,,,,2,1,Source: https://web.archive.org/web/20200412190759/https://www.travelnews24.it/2020/04/08/coronavirus-eventi-annullati-italia-intera-bloccata-in-casa/,1,1,Public transport is reduced but remains operational throughout the country. The decision will continue until May 3. Source: https://web.archive.org/web/20200412193955/https://www.ivg.it/2020/04/coronavirus-stretta-sui-trasporti-prorogate-fino-al-3-maggio-le-limitazioni-a-treni-e-aerei/,1,1,http://www.salute.gov.it/portale/nuovocoronavirus/,2,1,National lockdown until May 3. Source: https://web.archive.org/web/20200412190408/https://tg24.sky.it/cronaca/2020/04/11/coronavirus-decreto-attivita-aperte-14-aprile.html,3,Only exceptional repatriation flights are operative. Source: https://www.itagnol.com/2020/04/nuovi-voli-speciali-da-madrid-canarie-per-italia-volo-anche-da-lisbona-portogallo-rimpatrio-eccezionale/,452656332800,€400 billion-worth of loans and investments to help business. Sources: https://web.archive.org/save/https://www.politico.eu/article/italy-adopts-e400b-liquidity-plan-amid-coronavirus-crisis/ https://web.archive.org/save/http://www.governo.it/it/articolo/comunicato-stampa-del-consiglio-dei-ministri-n-39/14417,0,,0,,0,,2,Source: https://web.archive.org/web/20200412202405/https://www.covid19healthsystem.org/countries/italy/livinghit.aspx?Section=1.5%20Testing&Type=Section,2,https://web.archive.org/web/20200412201728/https://www.covid19healthsystem.org/countries/italy/livinghit.aspx?Section=1.4%20Monitoring%20and%20surveillance&Type=Section,,,,95.24
Jordan,JOR,20200415,,,,2,0,"On March 29, 2020, the Government of Jordan announced that the nationwide curfew which began March 21 will be extended until April 15.  The curfew prohibits the movement of people and closes most shops and including the closure of 'Malls and commercial complexes', 'Surgeries and medical exams will be suspended except for urgent cases', 'All institutions in the public and private sectors will be closed except for those deemed critical by the Government of Jordan.'
LINK: https://web.archive.org/web/20200407210402/https://jo.usembassy.gov/covid-19-information/",2,1,"On March 29, 2020, the Government of Jordan announced that the nationwide curfew which began March 21 will be extended until April 15.  The announcement and curfew includes the cancellation of public events with 'gatherings of more than ten people' as 'citizens may not leave home except in extreme circumstances'
LINK: https://web.archive.org/web/20200407210402/https://jo.usembassy.gov/covid-19-information/
AND  /web/20200407211312/https://en.royanews.tv/news/20330/2020-03-20.",2,1,"On March 29, 2020, the Government of Jordan announced that the nationwide curfew which began March 21 will be extended until April 15.  The announcement and curfew includes the suspension of Public transportation. 
LINK: https://web.archive.org/web/20200407210402/https://jo.usembassy.gov/covid-19-information/",,,,2,1,"On March 29, 2020, the Government of Jordan announced that the nationwide curfew which began March 21 will be extended until April 15.  The curfew prohibits the movement of people between governates (internal movement) as citizens may not leave home except in extreme circumstances.
LINK: https://web.archive.org/web/20200407210402/https://jo.usembassy.gov/covid-19-information/",3,"The Government of Jordan announced on April 4 that borders and airports will remain closed until after Ramadan, which is expected to conclude around May 23. 
LINK: https://web.archive.org/web/20200408170427/https://jo.usembassy.gov/covid-19-information/",,,,,,,,,,,,,,,,100
Kenya,KEN,20200415,,,,,,,,,,,,,,,,,,,3,"https://www.bbc.co.uk/news/world-africa-51917920

'Travellers from any country with a single case of the virus have been barred from entering Kenya for the next 30 days.' (Mar 16 2020)",,,,,,,,,,,,,,,,59.52
Sri Lanka,LKA,20200415,2,1,"https://www.newsfirst.lk/2020/03/12/schools-closed-till-april-20th-no-tution-classes-till-march-26th/
 https://colombogazette.com/2020/03/12/government-schools-to-be-closed-till-april/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
Madagascar,MDG,20200415,,,,,,,,,,,,,,,,,,,3,From 20 March Madagascar suspended all international and regional flights for a period of 30 days. Cruise ships will not be permitted to berth in Madagascar’s ports for 30 days from 15 March. https://web.archive.org/save/https://www.gov.uk/foreign-travel-advice/madagascar/coronavirus,,,,,,,,,,,,,,,,100
Mongolia,MNG,20200415,2,1,"The State Emergency Commission decided to close all schools and kindergartens in the country from January 27, 2020 to March 2, 2020. This has now been extended to 1st September. http://web.archive.org/web/20200404101529/https://en.unesco.org/covid19/educationresponse 
https://web.archive.org/web/20200415090759/https://montsame.mn/en/read/222416",1,1,"Closure of city administration cultural offices, e.g. libraries, museums, and community and cultural centers until April 30. Closure of schools, universities, cinemas and entertainment centers until April 30. Closure of bars and reduction of the operating hours of restaurants until April 30. https://web.archive.org/web/20200410103705/https://mn.usembassy.gov/covid-19-information/ Mining operations are closed https://web.archive.org/web/20200410115425/https://www.mining-technology.com/mining-safety/rio-tinto-mongolia-coronavirus",2,1,"Prohibition of public gatherings, events and meetings, such as conferences, sporting events and concerts; https://web.archive.org/web/20200410102925/https://eeas.europa.eu/headquarters/headquarters-homepage/77102/coronavirus-update-6-april-mongolia_en
",0,,"“Public transport service will not be stopped in the case the situation becomes tougher. Measures will be taken in stages further. The number of buses will be reduced by 35 percent on weekdays and by 50 percent on weekends, he added.” http://web.archive.org/web/20200410120438/https://montsame.mn/en/read/218524 http://web.archive.org/web/20200410115958/https://eeas.europa.eu/headquarters/headquarters-homepage/76360/mongolia-%E2%80%93-weekly-press-review-%E2%80%93-23-march-2020_en",1,1,"Daily news breiefings in govenment owned newspaper, from first case have a daily 11 a.m. press conference is still broadcast daily across local channels to update locals on any new developments that might develop each day. People are additionally handing out pamphlets in the street providing tips on how to stay healthy. http://web.archive.org/web/20200404103344/https://www.forbes.com/sites/breannawilson/2020/03/16/mongolia-announces-3-new-covid-19-cases-totaling-4-how-they-got-coronavirus-precautions-right/",0,,Movement seems possible,3,"Mongolian authorities suspended the entry of all passengers through all border checkpoints until 30 April, 2020. https://web.archive.org/web/20200410102925/https://eeas.europa.eu/headquarters/headquarters-homepage/77102/coronavirus-update-6-april-mongolia_en",0,,9,http://web.archive.org/web/20200415091808/https://www.mongolbank.mn/dblistmongolbankrate.aspx,0,,0,,1,,2,,,,66.67,66.67
Mauritius,MUS,20200415,2,1,,2,1,,2,1,,2,1,,0,1,,0,1,,0,,0,,0,,0,,0,,0,,1,,,,57.14,57.14
Malawi,MWI,20200415,,,,,,,,,,,,,,,,,,,3,"Malawi issued a travel ban to citizens of countries outside of the Southern African Development Community (https://malawi24.com/2020/03/20/coronavirus-malawi-imposes-travel-ban/). However, at the time, South Africa and countries neighboring Malawi had already registered COVID-19 cases. All arriving travelers were asked to undergo self-quarantine for 14 days. (https://malawipublichealth.org/index.php/resources/COVID-19%20SOPs/SOP%20for%20Coronavirus%20%20at%20PoE_final.doc/detail).",,,,,,,,,,,2,Contact tracing is happening for all confirmed cases ,,,,57.14
Malaysia,MYS,20200415,2,1,"The Prime Minister announced on 10 April that the movement control order (MCO) will be extended by another two weeks, from April 15 to April 28, to curb the spread of Covid-19. Schools would remain closed with home-based and online learning in place until the situation was considered safe for children to return to schools.[https://web.archive.org/web/20200410160930/https://www.thestar.com.my/news/nation/2020/04/10/mco-extended-until-april-28-pm-announces]",2,1,"The Prime Minister announced on 10 April that the movement control order (MCO) will be extended by another two weeks, from April 15 to April 28.  However, an additional list of businesses have been allowed to operate during the MCO [https://web.archive.org/web/20200410161411/https://www.thestar.com.my/news/nation/2020/04/10/govt-allows-more-businesses-like-hair-salon-optometry-to-open-during-mco], including: 
1. Automotive industry (limited to exports of CBU, parts and components, plus after-sale services);
2. Machinery and equipment industry;
3. Aerospace industry;
4. Construction projects and services related to construction works (Projects that have achieved physical progress of 90% and above; Tunnelling works; Maintenance works; Sloping works; Emergency works that are consequent to contractual obligations; Maintenance, cleaning and drying of stagnant water, spraying of pesticides at construction sites which prevent the breeding of Aedes mosquitoes and other pests; Other works that if left incomplete may result in danger;
Building projects with 70 IBS score and above; Construction projects with accommodation facilities for workers, such as centralised quarters for workers or workers’ camp; Professional services related to the construction industry including architects, engineers, town-planners, land surveyors, quantity surveyors, project managers, facility managers as well as other relevant services; Science, professional and technical services, including R&D; (services incidental to legal practice, services incidental to oil and gas, R&D; activities related to Covid-19, and testing labs for the sectors allowed to operate);
6. Social health services including registered traditional and complementary medicine (TCM) practitioners;
7. Hardware shops, electrical and electronic (E&E;) shops and optometrists in the wholesale and retail industry;
8. Laundry services (only those offering full-service and does not include self-service laundrettes);
9. Barber shops and hair salons (offering haircuts only)
The industries, which include non-essential services and products, must apply online from 9am on Monday (April 13) to the International Trade and Industry Ministry's (Miti) website www.miti.gov.my for permission to operate during the MCO.",2,1,"The Prime Minister announced on 10 April that the movement control order (MCO) will be extended by another two weeks, from April 15 to April 28. [https://web.archive.org/web/20200410160930/https://www.thestar.com.my/news/nation/2020/04/10/mco-extended-until-april-28-pm-announces]",,,,1,1,,2,1,"The Prime Minister announced on 10 April that the movement control order (MCO) will be extended by another two weeks, from April 15 to April 28. [https://web.archive.org/web/20200410160930/https://www.thestar.com.my/news/nation/2020/04/10/mco-extended-until-april-28-pm-announces]",3,"The Prime Minister announced on 10 April that the movement control order (MCO) will be extended by another two weeks, from April 15 to April 28.  [https://web.archive.org/web/20200410160930/https://www.thestar.com.my/news/nation/2020/04/10/mco-extended-until-april-28-pm-announces] Following the initial MCO, Foreigners are banned from entering the country; Malaysians are barred from leaving the country; Malaysians returning from overseas must undergo a 14-day quarantine. [https://web.archive.org/save/https://www.pmo.gov.my/2020/03/movement-control-order/]. From April 3 onwards, the 14-day quarantine must be done in designated quarantine centres.  [https://web.archive.org/save/https://www.malaymail.com/news/malaysia/2020/04/02/covid-19-14-day-mandatory-quarantine-for-returning-malaysians-foreign-visit/1852802]",,,,,,,,,,,,,,,,85.71
Pakistan,PAK,20200415,2,1,,2,0,,2,1,,2,1,,1,1,,2,1,,3,Only some special flights on requests of embassies to facilitate return of their nationals and bring back Pakistani national from abroad being operated.https://web.archive.org/save/https://www.thenews.com.pk/print/644129-japan-thanks-pakistan-over-return-of-nationals,,"The government started a cash transfer program to help poor daily wagers  affected due to corona.
",,,,,,,,,,,,,95.24,95.24
Philippines,PHL,20200415,,,,,,,,,,,,,,,,,,,3,"31 – January : Duterte bans travelers from Wuhan, Hubei as coronavirus spreads
 /web/20200415003926/https://www.rappler.com/nation/250640-duterte-bans-travelers-from-wuhan-hubei-coronavirus
02 – Feb: Duterte widens travel ban on mainland China, Hong Kong, Macau
/web/20200415004322/https://www.cnnphilippines.com/news/2020/2/2/Duterte-travel-ban-mainland-China-Hong-Kong-Macau.html
22 March: All foreigners banned from entering Philippines
/web/20200415004432/https://www.gmanetwork.com/news/news/nation/730560/foreigners-banned-from-entering-philippines-starting-march-22-dotr/story/
",,,,,,,,,,,,,,,,90.48
Portugal,PRT,20200415,,,,,,,,,,,,,1,1,,1,1,,3,,,,,,,,,,,,,,,,,85.71
Paraguay,PRY,20200415,,,,0,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,95.24
Romania,ROU,20200415,2,1,"https://www.romania-insider.com/romania-closes-schools-coronavirus-march-2020
Closures until april 21st.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.95
Russia,RUS,20200415,2,1,,2,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,85.71
